consequence,VariantType,VepImpact,variant_rows,model_gene_events
missense_variant,SNV,MODERATE,368746,340649
frameshift_variant,deletion,HIGH,27736,26703
stop_gained,SNV,HIGH,25755,25297
missense_variant,substitution,MODERATE,12861,12545
frameshift_variant,insertion,HIGH,10284,9778
splice_acceptor_variant,SNV,HIGH,6806,6790
splice_donor_variant,SNV,HIGH,5791,5785
inframe_deletion,deletion,MODERATE,3160,3140
inframe_insertion,insertion,MODERATE,983,979
start_lost,SNV,HIGH,948,947
splice_donor_variant,deletion,HIGH,893,888
splice_acceptor_variant,deletion,HIGH,881,876
stop_lost,SNV,HIGH,562,562
stop_gained,substitution,HIGH,538,538
splice_acceptor_variant,substitution,HIGH,471,471
splice_donor_variant,substitution,HIGH,300,300
stop_gained,insertion,HIGH,287,285
upstream_gene_variant,SNV,MODIFIER,280,273
splice_donor_variant,insertion,HIGH,120,116
splice_acceptor_variant,insertion,HIGH,100,95
stop_gained,deletion,HIGH,58,58
protein_altering_variant,insertion,MODERATE,49,49
splice_region_variant,SNV,LOW,18,18
stop_lost,substitution,HIGH,17,17
start_lost,substitution,HIGH,15,15
start_lost,deletion,HIGH,13,13
stop_lost,deletion,HIGH,9,9
5_prime_UTR_variant,SNV,MODIFIER,6,6
intron_variant,SNV,MODIFIER,6,6
upstream_gene_variant,substitution,MODIFIER,6,6
non_coding_transcript_exon_variant,SNV,MODIFIER,3,3
downstream_gene_variant,SNV,MODIFIER,2,2
upstream_gene_variant,deletion,MODIFIER,2,2
upstream_gene_variant,insertion,MODIFIER,1,1
